Product Link,Title,Category,Price,Color,Size,Description,Pictures
https://www.yoox.com/us/13976280JS/item#dept=clothingmen&queryID=505f6848ac8302680fc36b10e4decab9,DSQUARED2,DENIM PANTS,$267,Black,"28, 30, 32, 34, 38","denim, faded, worn effect, contrasting applications, brand logo, solid color, colored wash, high waisted, belt loops, tapered leg, slim-leg pants, zipper closure, button closing, cuffed hems, multipockets, stretch, skinny model","https://www.yoox.com/images/items/13/13976280JS_10_f.jpg, https://www.yoox.com/images/items/13/13976280JS_10_r.jpg, https://www.yoox.com/images/items/13/13976280JS_10_d.jpg, https://www.yoox.com/images/items/13/13976280JS_10_a.jpg"
https://www.yoox.com/us/10338248XQ/item#dept=clothingmen&queryID=505f6848ac8302680fc36b10e4decab9,ARMANI EXCHANGE,SWEATSHIRTS,$63,Black,XS,"french terry, brand logo, embellished, solid color with appliqués, turtleneck, long sleeves, zipper fastening, multipockets","https://www.yoox.com/images/items/10/10338248XQ_10_f.jpg, https://www.yoox.com/images/items/10/10338248XQ_10_r.jpg, https://www.yoox.com/images/items/10/10338248XQ_10_d.jpg, https://www.yoox.com/images/items/10/10338248XQ_10_a.jpg"
https://www.yoox.com/us/16368478DL/item#dept=clothingmen&queryID=927cac17bdfbff00f3b9358db530d280,DRKSHDW by RICK OWENS,SHELL JACKETS,$478,Military green,"M, XL","shell, quilted, no appliqués, solid color, crewneck, single-breasted , long sleeves, synthetic filling, zipper fastening, without pockets, dry clean, do not bleach, do not tumble dry, padded jacket","https://www.yoox.com/images/items/16/16368478DL_10_f.jpg, https://www.yoox.com/images/items/16/16368478DL_10_r.jpg, https://www.yoox.com/images/items/16/16368478DL_10_d.jpg, https://www.yoox.com/images/items/16/16368478DL_10_a.jpg"
https://www.yoox.com/us/14379374PR/item#dept=clothingmen&queryID=8895446d80e0f5e779236d76b6f9f558,VETEMENTS,CARDIGANS,$713,Black,,"knitted, lightweight knit, no appliqués, logo design, v-neck, long sleeves, no pockets","https://www.yoox.com/images/items/14/14379374PR_10_f.jpg, https://www.yoox.com/images/items/14/14379374PR_10_r.jpg, https://www.yoox.com/images/items/14/14379374PR_10_d.jpg, https://www.yoox.com/images/items/14/14379374PR_10_a.jpg"
https://www.yoox.com/us/16330823BK/item#dept=clothingmen&queryID=505f6848ac8302680fc36b10e4decab9,BALMAIN,BOMBERS,"$1,635",Grey,,"flannel, crystals, brand logo, signature print, crewneck, single-breasted , long sleeves, fully lined, zipper fastening, multipockets, stretch, bomber jacket, small sized","https://www.yoox.com/images/items/16/16330823BK_10_f.jpg, https://www.yoox.com/images/items/16/16330823BK_10_r.jpg, https://www.yoox.com/images/items/16/16330823BK_10_e.jpg, https://www.yoox.com/images/items/16/16330823BK_10_a.jpg"
https://www.yoox.com/us/16352309GH/item#dept=clothingmen&queryID=84ebd60d4c23452eacfb3b7ba0fdba40,DOLCE&GABBANA,COATS,$776,Black,"36, 46","tweed, metallic, no appliqués, multicolor, crewneck, long sleeves, fully lined, button fastenings, multipockets, dry clean, do not bleach, do not tumble dry, single-breasted coat","https://www.yoox.com/images/items/16/16352309GH_10_f.jpg, https://www.yoox.com/images/items/16/16352309GH_10_r.jpg, https://www.yoox.com/images/items/16/16352309GH_10_e.jpg, https://www.yoox.com/images/items/16/16352309GH_10_a.jpg"
https://www.yoox.com/us/16237554WN/item#dept=clothingmen&queryID=91c2eea43b7f6c8b25505df0a516b8d3,ALANUI,SHELL JACKETS,$918,Navy,M,"knitted, quilted, heavy-weight knit, no appliqués, paisley-print, turtleneck, single-breasted , long sleeves, goose down interior, zipper fastening, multipockets, drawstring hem, contains non-textile parts of animal origin, single-breasted blazer","https://www.yoox.com/images/items/16/16237554WN_10_f.jpg, https://www.yoox.com/images/items/16/16237554WN_10_r.jpg, https://www.yoox.com/images/items/16/16237554WN_10_d.jpg, https://www.yoox.com/images/items/16/16237554WN_10_a.jpg"
https://www.yoox.com/us/16365408QH/item#dept=clothingmen&queryID=91c2eea43b7f6c8b25505df0a516b8d3,VALENTINO GARAVANI,VESTS,$252,Midnight blue,,"coated fabric, no appliqués, solid color, v-neck, single-breasted , sleeveless, plush fabric inner, zipper fastening, multipockets, one chest pocket, stretch, dry clean, do not bleach, do not tumble dry","https://www.yoox.com/images/items/16/16365408QH_10_f.jpg, https://www.yoox.com/images/items/16/16365408QH_10_r.jpg, https://www.yoox.com/images/items/16/16365408QH_10_e.jpg, https://www.yoox.com/images/items/16/16365408QH_10_a.jpg"
https://www.yoox.com/us/10514471QX/item#dept=clothingmen&queryID=91c2eea43b7f6c8b25505df0a516b8d3,FENDI,SOLID COLOR SHIRTS,$544,Light grey,"38, 42","taffeta, brand logo, solid color, classic collar, short sleeves, snap fastenings, one chest pocket, side slit hemline, machine wash or dry clean, do not bleach, do not tumble dry, regular-fit shirt","https://www.yoox.com/images/items/10/10514471QX_10_f.jpg, https://www.yoox.com/images/items/10/10514471QX_10_r.jpg, https://www.yoox.com/images/items/10/10514471QX_10_d.jpg, https://www.yoox.com/images/items/10/10514471QX_10_a.jpg"
https://www.yoox.com/us/30310739IC/item#dept=clothingmen&queryID=36a38a35455dca569ccbf2d438dbf3e2,VERSACE,CASUAL PANTS,$264,Khaki,"32, 34","woven, brand logo, solid color, high waisted, drawstring waist, relaxed fit, zipper fastening, elasticated hem, multipockets, cargo pants, this brand runs large","https://www.yoox.com/images/items/30/30310739IC_10_f.jpg, https://www.yoox.com/images/items/30/30310739IC_10_r.jpg, https://www.yoox.com/images/items/30/30310739IC_10_e.jpg, https://www.yoox.com/images/items/30/30310739IC_10_a.jpg"
